repository_name,repository_url,team_url,last_update,watchers_count,forks_count,open_issues_count,language
reginabox,https://github.com/yahoo/reginabox,https://api.github.com/repos/yahoo/reginabox/teams,2015-08-06T21:14:44Z,89,1,0,JavaScript
fluxible-router,https://github.com/yahoo/fluxible-router,https://api.github.com/repos/yahoo/fluxible-router/teams,2015-09-11T00:19:14Z,85,28,14,JavaScript
gear,https://github.com/yahoo/gear,https://api.github.com/repos/yahoo/gear/teams,2015-07-11T01:56:45Z,78,14,0,JavaScript
preceptor,https://github.com/yahoo/preceptor,https://api.github.com/repos/yahoo/preceptor/teams,2015-08-14T15:07:31Z,78,2,0,JavaScript
yos-social-php5,https://github.com/yahoo/yos-social-php5,https://api.github.com/repos/yahoo/yos-social-php5/teams,2015-05-16T06:15:19Z,73,35,11,PHP
yos-social-php,https://github.com/yahoo/yos-social-php,https://api.github.com/repos/yahoo/yos-social-php/teams,2015-06-19T21:25:55Z,72,41,2,PHP
howl,https://github.com/yahoo/howl,https://api.github.com/repos/yahoo/howl/teams,2015-08-26T12:32:10Z,71,8,7,Java
rework-pure-grids,https://github.com/yahoo/rework-pure-grids,https://api.github.com/repos/yahoo/rework-pure-grids/teams,2015-08-01T23:56:31Z,66,9,2,JavaScript
intl-relativeformat,https://github.com/yahoo/intl-relativeformat,https://api.github.com/repos/yahoo/intl-relativeformat/teams,2015-09-11T15:58:40Z,60,9,2,JavaScript
yos-social-python,https://github.com/yahoo/yos-social-python,https://api.github.com/repos/yahoo/yos-social-python/teams,2015-06-13T12:04:48Z,60,22,4,Python
arrow,https://github.com/yahoo/arrow,https://api.github.com/repos/yahoo/arrow/teams,2015-07-14T04:35:26Z,59,66,34,JavaScript
serialize-javascript,https://github.com/yahoo/serialize-javascript,https://api.github.com/repos/yahoo/serialize-javascript/teams,2015-08-30T02:51:51Z,59,9,1,JavaScript
Pluton,https://github.com/yahoo/Pluton,https://api.github.com/repos/yahoo/Pluton/teams,2015-08-05T05:51:39Z,56,5,2,C++
fluxible-plugin-fetchr,https://github.com/yahoo/fluxible-plugin-fetchr,https://api.github.com/repos/yahoo/fluxible-plugin-fetchr/teams,2015-08-31T16:25:22Z,55,15,5,JavaScript
Glimmer,https://github.com/yahoo/Glimmer,https://api.github.com/repos/yahoo/Glimmer/teams,2015-07-05T19:06:06Z,50,12,0,Java
cronshot,https://github.com/yahoo/cronshot,https://api.github.com/repos/yahoo/cronshot/teams,2015-07-11T13:12:24Z,49,4,0,JavaScript
yslow,https://github.com/yahoo/yslow,https://api.github.com/repos/yahoo/yslow/teams,2015-07-02T09:23:14Z,49,10,0,JavaScript
storm-perf-test,https://github.com/yahoo/storm-perf-test,https://api.github.com/repos/yahoo/storm-perf-test/teams,2015-09-02T14:30:54Z,46,23,0,Java
fluxible.io,https://github.com/yahoo/fluxible.io,https://api.github.com/repos/yahoo/fluxible.io/teams,2015-09-03T22:11:36Z,44,23,1,JavaScript
messenger-sdk-php,https://github.com/yahoo/messenger-sdk-php,https://api.github.com/repos/yahoo/messenger-sdk-php/teams,2015-07-16T10:11:56Z,44,32,8,PHP
ygloo-ymagine,https://github.com/yahoo/ygloo-ymagine,https://api.github.com/repos/yahoo/ygloo-ymagine/teams,2015-08-14T10:40:45Z,41,5,0,C
intl-messageformat-parser,https://github.com/yahoo/intl-messageformat-parser,https://api.github.com/repos/yahoo/intl-messageformat-parser/teams,2015-09-02T23:26:27Z,41,5,4,JavaScript
ypromise,https://github.com/yahoo/ypromise,https://api.github.com/repos/yahoo/ypromise/teams,2015-07-25T09:42:48Z,40,12,3,JavaScript
mojito-shaker,https://github.com/yahoo/mojito-shaker,https://api.github.com/repos/yahoo/mojito-shaker/teams,2015-05-20T21:00:28Z,35,17,3,JavaScript
YaraParser,https://github.com/yahoo/YaraParser,https://api.github.com/repos/yahoo/YaraParser/teams,2015-07-06T18:29:04Z,34,2,0,Java
fluxible-plugin-routr,https://github.com/yahoo/fluxible-plugin-routr,https://api.github.com/repos/yahoo/fluxible-plugin-routr/teams,2015-07-30T02:26:26Z,33,6,0,JavaScript
dust-intl,https://github.com/yahoo/dust-intl,https://api.github.com/repos/yahoo/dust-intl/teams,2015-08-22T10:24:23Z,32,11,6,JavaScript
generator-fluxible,https://github.com/yahoo/generator-fluxible,https://api.github.com/repos/yahoo/generator-fluxible/teams,2015-09-07T06:20:02Z,32,17,0,JavaScript
strip-loader,https://github.com/yahoo/strip-loader,https://api.github.com/repos/yahoo/strip-loader/teams,2015-09-06T12:20:11Z,32,2,3,JavaScript
fluxible-action-utils,https://github.com/yahoo/fluxible-action-utils,https://api.github.com/repos/yahoo/fluxible-action-utils/teams,2015-08-02T11:58:42Z,28,4,1,JavaScript
messenger-sdk,https://github.com/yahoo/messenger-sdk,https://api.github.com/repos/yahoo/messenger-sdk/teams,2015-04-22T21:32:01Z,28,23,2,Java
ycb,https://github.com/yahoo/ycb,https://api.github.com/repos/yahoo/ycb/teams,2015-07-30T16:52:33Z,28,16,3,JavaScript
